alpha_0,alpha_1,benchmarks,beta_0,beta_1,condition,converged,delta_0,delta_1,detected_cycle_length,distance_to_monopoly_price,distance_to_nash_price,eval_periods,final_avg_price_oracle,final_avg_price_victim,final_avg_profit_oracle,final_avg_profit_victim,final_market_price_mean,final_profit_asymmetry,final_profit_gain_oracle,final_profit_gain_victim,m,market_config,max_periods,periods_to_convergence,seed,out_dir
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,1,0.18727962157966238,0.2647746374069866,100000,1.7377012974378705,1.7377012974378705,0.31388611020615,0.31388611020615,1.7377012974378705,0.0,0.7989537912756846,0.7989537912756846,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,22,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_22
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,2,0.19696649855856885,0.2550877604280801,100000,1.7377012974378705,1.7183275434800578,0.30343641733279586,0.31901102006668225,1.728014420458964,-0.015574602733886389,0.709835148719921,0.8426608184129026,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,23,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_23
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,1,0.2841483913616898,0.16790586762495918,100000,1.6214587737020123,1.660206281609674,0.29929402987890524,0.2723040287794014,1.640832527655843,0.026990001099503835,0.6745074169573833,0.44432722987267964,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,24,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_24
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,1,0.1291583597106245,0.32289589927602447,100000,1.8151963132630151,1.7764488053508016,0.30818703057962304,0.342749076301613,1.7958225593069084,-0.034562045721989954,0.7503500431762186,1.0451072801614358,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,25,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_25
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,2,0.17759274460292085,0.2744615143837281,100000,1.7570750513927127,1.7377012974365114,0.3034246153219032,0.31670970573073876,1.747388174414612,-0.013285090408835576,0.7097344970354236,0.8230344033403252,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,26,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_26
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,2,0.19696649855710402,0.25508776042954495,100000,1.6989537895264735,1.7570750513943842,0.3274302593419114,0.2859581040129043,1.7280144204604289,0.04147215532900711,0.9144630411819396,0.5607739680602556,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,27,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_27
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,1,0.14853211366673125,0.3035221453199177,100000,1.7764488053508016,1.7764488053508016,0.32232067662057773,0.32232067662057773,1.7764488053508016,0.0,0.8708867292586706,0.8708867292586706,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,28,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_28
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,4,0.2696180758960658,0.18243618309058318,100000,1.6602062816113812,1.650519404631553,0.28136058154379595,0.28739977127668803,1.655362843121467,-0.006039189732892081,0.5215646854016884,0.5730690116680062,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,29,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_29
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,3,0.18082196191154032,0.27123229707510865,100000,1.737700522486892,1.7506173917250931,0.30497979545116677,0.29979564036645306,1.7441589571059926,0.005184155084713704,0.722997618136626,0.6787853269671583,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,30,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_30
0.03,0.15,"{'p_m': 1.9249809190175329, 'p_n': 1.472926660030884, 'pi_m': [0.337459978414553, 0.337459978414553], 'pi_n': [0.22020400846622798, 0.22020400846622798]}",4e-06,4e-06,alpha_o0.03_v0.15,False,0.95,0.95,1,0.10978460575451776,0.3422696532321312,100000,1.8151963132630151,1.8151963132630151,0.3290413826718377,0.3290413826718377,1.8151963132630151,0.0,0.9282032655017446,0.9282032655017446,15,"{'costs': None, 'demand_scale': 1.0, 'm': 15, 'mu': 0.25, 'n': 2, 'outside_quality': 0.0, 'qualities': None, 'xi': 0.1}",10000000,10000000,31,C:\Users\я\Documents\RLpricewars\results\long_matrix_10m_plus\block2_tabular_heterogeneity_10m_100seeds\alpha_o0.03_v0.15\seed_31
